total 110592
drwx------  1 robertrhu  staff  1048576 Jan  8 06:07 .
drwx------  1 robertrhu  staff  1048576 Jan  8 05:56 ..
-rwx------  1 robertrhu  staff      736 Jan 17 19:39 .env
-rwx------  1 robertrhu  staff     1712 Jan 15 17:31 .mcp.json
drwx------  1 robertrhu  staff  1048576 Jan 14 22:43 .pytest_cache
drwx------  1 robertrhu  staff  1048576 Jan 14 01:47 .venv
-rwx------  1 robertrhu  staff     5258 Jan 15 13:43 DASHBOARD_QUICK_START.md
-rwx------  1 robertrhu  staff    23868 Jan 17 22:29 DEPLOYMENT_COMPLETE.md
-rwx------  1 robertrhu  staff    13021 Jan 17 21:10 DEPLOYMENT_SUMMARY.md
-rwx------  1 robertrhu  staff     9643 Jan 15 12:41 FEATURE_GAP_NL_INTERFACE.md
-rwx------  1 robertrhu  staff     6397 Jan 15 11:18 IMPORT_FIXES_REPORT.md
-rwx------  1 robertrhu  staff     6381 Jan 15 10:55 L09_GATEWAY_FIX_REPORT.md
-rwx------  1 robertrhu  staff     6593 Jan 15 08:41 L11_BRIDGE_INTEGRATION.md
-rwx------  1 robertrhu  staff    17001 Jan 15 14:48 L12_DEPLOYMENT_SUMMARY.md
-rwx------  1 robertrhu  staff     9703 Jan 15 16:03 L12_MCP_SETUP_COMPLETE.md
-rwx------  1 robertrhu  staff    11693 Jan 15 17:46 L12_SPRINT_SUMMARY.md
-rwx------  1 robertrhu  staff     2981 Jan 15 18:06 NEW_TOOLS_QUICK_REFERENCE.md
-rwx------  1 robertrhu  staff    10532 Jan 14 20:29 OLLAMA_INTEGRATION_REPORT.md
-rwx------  1 robertrhu  staff    13145 Jan 17 22:21 PHASE_4_COMPLETE.md
-rwx------  1 robertrhu  staff    16864 Jan 15 12:47 PLATFORM_ROLES_INVENTORY.md
-rwx------  1 robertrhu  staff    20269 Jan 17 21:47 PLATFORM_SERVICES_CATALOG.md
-rwx------  1 robertrhu  staff    21865 Jan 15 05:09 QA_FINDINGS.md
-rwx------  1 robertrhu  staff     5333 Jan 15 12:48 QUICK_REFERENCE.md
-rwx------  1 robertrhu  staff    12491 Jan 15 11:17 SECURITY_FIXES_REPORT.md
-rwx------  1 robertrhu  staff    10145 Jan 15 08:43 SYSTEM_INTEGRATION_TEST_REPORT.md
-rwx------  1 robertrhu  staff    12816 Jan 15 04:42 TESTING_REPORT.md
-rwx------  1 robertrhu  staff     5589 Jan 15 12:41 TODO_NL_INTERFACE.md
-rwx------  1 robertrhu  staff    18886 Jan 17 21:58 V2_DEPLOYMENT_COMPLETE.md
-rwx------  1 robertrhu  staff     8174 Jan 14 20:29 VERIFICATION_MATRIX.md
drwx------  1 robertrhu  staff  1048576 Jan 15 10:09 __pycache__
drwx------  1 robertrhu  staff  1048576 Jan 17 21:45 archive
-rwx------  1 robertrhu  staff     9073 Jan 17 22:09 docker-compose.app.yml
-rwx------  1 robertrhu  staff      734 Jan 14 20:29 docker-compose.unified.yml
drwx------  1 robertrhu  staff  1048576 Jan 14 20:29 docs
-rwx------  1 robertrhu  staff      977 Jan 14 20:29 ecosystem.config.js
drwx------  1 robertrhu  staff  1048576 Jan 14 22:44 examples
drwx------  1 robertrhu  staff  1048576 Jan 17 17:19 migrations
drwx------  1 robertrhu  staff  1048576 Jan 14 20:29 output
drwx------  1 robertrhu  staff  1048576 Jan 15 09:21 qa-reports
-rwx------  1 robertrhu  staff      748 Jan 15 17:44 run_l12_mcp.sh
drwx------  1 robertrhu  staff  1048576 Jan 14 09:31 scripts
drwx------  1 robertrhu  staff  1048576 Jan 14 10:18 services
drwx------  1 robertrhu  staff  1048576 Jan 17 20:26 shared
drwx------  1 robertrhu  staff  1048576 Jan 14 20:29 specs
drwx------  1 robertrhu  staff  1048576 Jan 14 20:29 src
-rwx------  1 robertrhu  staff     3945 Jan 15 13:42 start_dashboard.sh
-rwx------  1 robertrhu  staff     1470 Jan 15 13:42 stop_dashboard.sh
-rwx------  1 robertrhu  staff     1090 Jan 15 03:36 test_l09_imports.py
-rwx------  1 robertrhu  staff     6795 Jan 15 16:02 test_mcp_server.py
-rwx------  1 robertrhu  staff   130381 Jan 15 04:41 test_results.log
drwx------  1 robertrhu  staff  1048576 Jan 15 01:45 tests
drwx------  1 robertrhu  staff  1048576 Jan 17 22:02 ui
-rwx------  1 robertrhu  staff     8600 Jan 15 17:45 validate_l12_enhancements.py
-rwx------  1 robertrhu  staff     4915 Jan 15 16:04 validate_mcp_setup.sh
